epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4579,1.22607,2.74568,0.96686,0.02286,0.25828,0.13786,0.07342,1.10975,3.43832,0.90908,0.000408333,0.000408333,0.000408333
2,20.3583,1.17819,1.56409,0.96069,0.71416,0.21043,0.23244,0.14795,1.11533,2.02591,0.93291,0.000808665,0.000808665,0.000808665
3,27.7059,1.1004,1.3778,0.93411,0.97254,0.2315,0.25726,0.18595,0.98082,1.27347,0.93243,0.0011925,0.0011925,0.0011925
4,37.6577,1.10213,1.31134,0.92314,0.48411,0.27441,0.27969,0.18687,1.07367,1.12302,0.92484,0.00117575,0.00117575,0.00117575
5,44.3605,1.13108,1.27748,0.92266,0.59001,0.27298,0.29737,0.20883,0.99694,1.0456,0.93216,0.001151,0.001151,0.001151
6,51.5177,1.05729,1.17372,0.92325,0.86834,0.3093,0.34566,0.23828,0.94429,1.014,0.90992,0.00112625,0.00112625,0.00112625
7,58.1949,1.02023,1.13144,0.90856,0.87482,0.30725,0.39637,0.25212,0.91862,0.98718,0.90847,0.0011015,0.0011015,0.0011015
8,64.7401,1.01295,1.10341,0.90137,0.68465,0.33541,0.43899,0.27675,0.91511,0.94202,0.90582,0.00107675,0.00107675,0.00107675
9,72.6444,1.03717,1.08767,0.89943,0.71481,0.34392,0.4601,0.29222,0.89893,0.90816,0.90548,0.001052,0.001052,0.001052
10,79.3483,0.98957,1.05019,0.89585,0.48994,0.447,0.46873,0.29819,0.87974,0.88695,0.89509,0.00102725,0.00102725,0.00102725
11,86.1577,0.96876,1.00818,0.8853,0.50545,0.50736,0.48986,0.32159,0.8399,0.83267,0.88598,0.0010025,0.0010025,0.0010025
12,92.5958,0.92171,0.96605,0.87988,0.59728,0.54475,0.55038,0.36014,0.83021,0.77838,0.88526,0.00097775,0.00097775,0.00097775
13,99.0051,0.933,0.91278,0.87863,0.66939,0.62848,0.63644,0.41522,0.85605,0.74526,0.8898,0.000953,0.000953,0.000953
14,105.378,0.9363,0.88814,0.87564,0.6852,0.63061,0.66345,0.4277,0.87241,0.71272,0.89027,0.00092825,0.00092825,0.00092825
15,111.811,0.93566,0.8705,0.87349,0.74537,0.65632,0.70155,0.46397,0.85109,0.68759,0.88491,0.0009035,0.0009035,0.0009035
16,118.175,0.88935,0.81925,0.86835,0.78125,0.68706,0.73769,0.48541,0.82183,0.64713,0.87571,0.00087875,0.00087875,0.00087875
17,124.61,0.90588,0.79972,0.86811,0.83895,0.72449,0.76698,0.50981,0.81946,0.62309,0.87478,0.000854,0.000854,0.000854
18,131.026,0.87011,0.7655,0.86594,0.83536,0.74526,0.80207,0.53843,0.81169,0.6074,0.87357,0.00082925,0.00082925,0.00082925
19,137.368,0.87086,0.74377,0.87156,0.80548,0.69946,0.75831,0.50825,0.7991,0.61311,0.87273,0.0008045,0.0008045,0.0008045
20,143.816,0.88056,0.72422,0.86724,0.82155,0.74636,0.79415,0.53227,0.81976,0.59432,0.8791,0.00077975,0.00077975,0.00077975
21,149.864,0.92198,0.73625,0.86979,0.88417,0.74524,0.80241,0.53637,0.84605,0.61479,0.87653,0.000755,0.000755,0.000755
22,156.889,0.89265,0.72189,0.86282,0.8569,0.744,0.81177,0.55391,0.79661,0.59776,0.87054,0.00073025,0.00073025,0.00073025
23,163.634,0.85216,0.68352,0.86227,0.88207,0.75065,0.83867,0.57111,0.79217,0.57066,0.87079,0.0007055,0.0007055,0.0007055
24,170.185,0.86027,0.66872,0.86027,0.86852,0.78636,0.84896,0.57412,0.80529,0.55292,0.87621,0.00068075,0.00068075,0.00068075
25,176.937,0.85344,0.66429,0.8608,0.94167,0.75308,0.84536,0.57241,0.77537,0.55528,0.87159,0.000656,0.000656,0.000656
26,183.431,0.85186,0.65277,0.85954,0.9002,0.7558,0.83271,0.57296,0.80598,0.55736,0.87506,0.00063125,0.00063125,0.00063125
27,190.107,0.84552,0.64428,0.8588,0.86932,0.78172,0.83619,0.58252,0.77087,0.55167,0.86775,0.0006065,0.0006065,0.0006065
28,196.633,0.84022,0.63095,0.85776,0.81465,0.80962,0.83547,0.58389,0.75162,0.53031,0.86189,0.00058175,0.00058175,0.00058175
29,203.322,0.84173,0.62749,0.86183,0.85547,0.80295,0.83645,0.5815,0.78057,0.53178,0.87065,0.000557,0.000557,0.000557
30,209.68,0.85169,0.62406,0.85702,0.87876,0.79239,0.83016,0.57478,0.79377,0.53546,0.87228,0.00053225,0.00053225,0.00053225
31,215.804,0.82491,0.62201,0.85716,0.88436,0.79322,0.84347,0.5838,0.79028,0.53462,0.87083,0.0005075,0.0005075,0.0005075
32,222.327,0.8433,0.61157,0.85547,0.89057,0.77787,0.84614,0.58145,0.7608,0.54658,0.86745,0.00048275,0.00048275,0.00048275
33,228.538,0.83533,0.60509,0.85552,0.87688,0.81652,0.85359,0.59918,0.75889,0.5193,0.86342,0.000458,0.000458,0.000458
34,234.803,0.80441,0.58514,0.84941,0.87651,0.7823,0.8327,0.58619,0.74523,0.51746,0.86745,0.00043325,0.00043325,0.00043325
35,241.215,0.80753,0.58936,0.85344,0.88096,0.79946,0.85598,0.59109,0.76027,0.50966,0.86667,0.0004085,0.0004085,0.0004085
36,247.623,0.805,0.58043,0.84808,0.8968,0.79809,0.85145,0.58805,0.75588,0.50709,0.8649,0.00038375,0.00038375,0.00038375
37,254.016,0.80661,0.57484,0.84962,0.89678,0.81071,0.86327,0.6006,0.77128,0.50695,0.869,0.000359,0.000359,0.000359
38,260.307,0.80114,0.56891,0.85185,0.88606,0.80436,0.85587,0.59805,0.74949,0.49944,0.86489,0.00033425,0.00033425,0.00033425
39,266.374,0.81765,0.57507,0.85317,0.90769,0.82315,0.87018,0.60842,0.7389,0.49404,0.86362,0.0003095,0.0003095,0.0003095
40,272.805,0.81044,0.57204,0.85144,0.8868,0.84261,0.86565,0.60983,0.74493,0.4978,0.86163,0.00028475,0.00028475,0.00028475
41,284.811,0.76323,0.56125,0.8519,0.89501,0.80923,0.86731,0.60438,0.74809,0.49257,0.8614,0.00026,0.00026,0.00026
42,291.16,0.74381,0.53831,0.84797,0.84828,0.82364,0.86149,0.59994,0.74945,0.48715,0.86075,0.00023525,0.00023525,0.00023525
43,297.138,0.73706,0.53198,0.84939,0.87035,0.82001,0.85921,0.60308,0.74367,0.48201,0.86149,0.0002105,0.0002105,0.0002105
44,303.044,0.73998,0.53491,0.84797,0.90924,0.81435,0.85941,0.6094,0.74268,0.48402,0.8621,0.00018575,0.00018575,0.00018575
45,309.089,0.74332,0.52882,0.84411,0.88289,0.82324,0.85365,0.60829,0.74006,0.47743,0.86037,0.000161,0.000161,0.000161
46,315.768,0.73376,0.519,0.84822,0.92536,0.81348,0.85767,0.59869,0.74855,0.4804,0.86156,0.00013625,0.00013625,0.00013625
47,322.302,0.73341,0.52295,0.8447,0.93587,0.80677,0.86341,0.60426,0.73773,0.47158,0.85929,0.0001115,0.0001115,0.0001115
48,328.368,0.72757,0.52012,0.84556,0.90215,0.80374,0.8581,0.60271,0.73888,0.47353,0.85844,8.675e-05,8.675e-05,8.675e-05
49,337.522,0.72694,0.51422,0.84336,0.91759,0.79824,0.86195,0.60244,0.73512,0.46999,0.85962,6.2e-05,6.2e-05,6.2e-05
50,345.518,0.73038,0.51118,0.84642,0.91468,0.80292,0.86228,0.6075,0.73144,0.46685,0.85826,3.725e-05,3.725e-05,3.725e-05
