epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.05295,2.64105,32.1506,0.94069,0,0,0,0,2.63608,5.62937,0.90328,0.0673366,3.26667e-06,3.26667e-06
2,14.766,2.41738,4.87239,0.91089,0,0,0,0,2.26447,4.54463,0.88258,0.0340065,6.53466e-06,6.53466e-06
3,20.546,2.43619,3.79972,0.94402,0.21277,0.44444,0.30886,0.13334,2.20661,3.59393,0.8743,0.000676403,9.73665e-06,9.73665e-06
4,26.066,2.32412,3.44929,0.91675,0.40857,0.30712,0.32579,0.12416,2.11771,2.77213,0.8799,9.703e-06,9.703e-06,9.703e-06
5,31.3267,2.35378,3.92917,0.89543,0.37782,0.43193,0.33492,0.1386,2.13758,2.71552,0.8639,9.604e-06,9.604e-06,9.604e-06
6,36.8953,2.22266,3.56802,0.87756,0.37438,0.37778,0.32308,0.13509,2.16756,2.71963,0.86142,9.505e-06,9.505e-06,9.505e-06
7,42.5022,2.33308,3.59371,0.88639,0.41197,0.4,0.32965,0.14052,2.20017,2.69321,0.86284,9.406e-06,9.406e-06,9.406e-06
8,48.3508,2.26019,3.54472,0.87474,0.44876,0.42222,0.34702,0.13384,2.15103,2.6768,0.88036,9.307e-06,9.307e-06,9.307e-06
9,54.0461,2.34657,3.57987,0.89261,0.48047,0.42222,0.37372,0.15041,2.1516,2.59436,0.87527,9.208e-06,9.208e-06,9.208e-06
10,59.494,2.19752,3.45102,0.89228,0.47493,0.4,0.38235,0.15568,2.15095,2.54468,0.86912,9.109e-06,9.109e-06,9.109e-06
11,65.0073,2.29356,3.49187,0.89626,0.48747,0.42222,0.39871,0.16507,2.13229,2.4977,0.86659,9.01e-06,9.01e-06,9.01e-06
12,70.68,2.18138,3.23099,0.88481,0.49233,0.44444,0.40475,0.17721,2.11236,2.49322,0.87036,8.911e-06,8.911e-06,8.911e-06
13,76.4407,2.27487,3.55248,0.91851,0.45111,0.44444,0.40438,0.17471,2.10333,2.4681,0.87379,8.812e-06,8.812e-06,8.812e-06
14,81.8438,2.40856,3.67098,0.91038,0.51685,0.44444,0.40532,0.17669,2.03999,2.46801,0.8825,8.713e-06,8.713e-06,8.713e-06
15,87.2625,2.12821,3.41973,0.89378,0.50708,0.44444,0.41996,0.19652,1.91861,2.50793,0.89433,8.614e-06,8.614e-06,8.614e-06
16,92.8268,2.20433,3.18921,0.88992,0.50775,0.44444,0.40967,0.19263,1.96089,2.47978,0.8903,8.515e-06,8.515e-06,8.515e-06
17,98.2168,2.19273,3.25672,0.88031,0.51152,0.44444,0.4132,0.19357,1.9794,2.467,0.88734,8.416e-06,8.416e-06,8.416e-06
18,103.457,2.21287,3.40347,0.89382,0.51141,0.44444,0.41271,0.18631,1.98652,2.42254,0.87871,8.317e-06,8.317e-06,8.317e-06
19,108.791,2.18237,3.37284,0.86879,0.50459,0.4,0.41439,0.18373,2.0279,2.38011,0.86686,8.218e-06,8.218e-06,8.218e-06
20,114.145,2.15038,3.27545,0.90173,0.59122,0.37778,0.41729,0.19679,2.04523,2.33114,0.86578,8.119e-06,8.119e-06,8.119e-06
21,119.447,2.06908,3.24374,0.86863,0.62475,0.37778,0.4237,0.21238,2.04003,2.32243,0.86517,8.02e-06,8.02e-06,8.02e-06
22,125.004,2.15829,2.99968,0.86935,0.6128,0.37778,0.43259,0.20004,1.99854,2.29532,0.874,7.921e-06,7.921e-06,7.921e-06
